date-time,atmospheric pressure (mBar),rainfall (mm),wind speed (m/s),wind direction (degrees),surface temperature (C),relative humidity (%),solar flux (Kw/m2),battery (V)
02/10/2015 00:00,1029,0,0,0,10.65,77.6,0,13.75
02/10/2015 00:01,1028,0,0,0,10.62,77.6,0,13.75
02/10/2015 00:02,1029,0,0,0,10.53,77.7,0,13.75
02/10/2015 00:03,1029,0,0,0,10.54,77.7,0,13.75
02/10/2015 00:04,1029,0,0,0,10.45,77.8,0,13.75
02/10/2015 00:05,1029,0,0,0,10.46,78,0,13.75
02/10/2015 00:06,1028,0,0,0,10.39,78.3,0,13.75
02/10/2015 00:07,1029,0,0,0,10.38,78.5,0,13.75
02/10/2015 00:08,1029,0,0,0,10.36,78.7,0,13.75
02/10/2015 00:09,1029,0,0,0,10.32,78.8,0,13.75
02/10/2015 00:10,1029,0,0,0,10.3,79,0,13.75
02/10/2015 00:11,1029,0,0,0,10.26,78.9,0,13.75
02/10/2015 00:12,1029,0,0,0,10.07,78.4,0,13.75
02/10/2015 00:13,1029,0,0,0,10.01,78.3,0,13.75
02/10/2015 00:14,1029,0,0,0,9.94,78.2,0,13.75
02/10/2015 00:15,1029,0,0,0,9.9,78.2,0,13.75
02/10/2015 00:16,1029,0,0,0,9.82,77.9,0,13.75
02/10/2015 00:17,1029,0,0,0,9.77,78,0,13.75
02/10/2015 00:18,1029,0,0,0,9.78,77.9,0,13.75
02/10/2015 00:19,1029,0,0,0,9.8,78.1,0,13.75
02/10/2015 00:20,1029,0,0,0,9.8,78.2,0,13.75
02/10/2015 00:21,1029,0,0,0,9.81,78.3,0,13.76
02/10/2015 00:22,1029,0,0,0,9.81,78.6,0,13.76
02/10/2015 00:23,1029,0,0,0,9.81,78.6,0,13.76
02/10/2015 00:24,1029,0,0,0,9.78,78.7,0,13.76
02/10/2015 00:25,1029,0,0,0,9.73,78.7,0,13.76
02/10/2015 00:26,1029,0,0,0,9.72,79.1,0,13.76
02/10/2015 00:27,1029,0,0,0,9.84,79.4,0,13.76
02/10/2015 00:28,1029,0,0,0,9.93,79.7,0,13.76
02/10/2015 00:29,1028,0,0,0,10.03,80,0,13.76
02/10/2015 00:30,1028,0,0,0,10.13,80.2,0,13.76
02/10/2015 00:31,1028,0,0,0,10.18,80.1,0,13.76
02/10/2015 00:32,1028,0,0,0,10.22,80.1,0,13.76
02/10/2015 00:33,1028,0,0,0,10.25,80.2,0,13.76
02/10/2015 00:34,1028,0,0,0,10.28,80.3,0,13.76
02/10/2015 00:35,1028,0,0,0,10.33,80.1,0,13.76
02/10/2015 00:36,1028,0,0,0,10.37,80.4,0,13.76
02/10/2015 00:37,1028,0,0,0,10.43,80.3,0,13.76
02/10/2015 00:38,1028,0,0,0,10.48,80.3,0,13.76
02/10/2015 00:39,1028,0,0,0,10.54,80.1,0,13.76
02/10/2015 00:40,1028,0,0,0,10.56,80.1,0,13.76
02/10/2015 00:41,1028,0,0,0,10.54,79.9,0,13.76
02/10/2015 00:42,1028,0,0,0,10.54,79.9,0,13.76
02/10/2015 00:43,1028,0,0,0,10.56,79.9,0,13.76
02/10/2015 00:44,1028,0,0,0,10.54,79.9,0,13.76
02/10/2015 00:45,1028,0,0,0,10.64,79.9,0,13.76
02/10/2015 00:46,1028,0,0,0,10.66,80,0,13.76
02/10/2015 00:47,1028,0,0,0,10.71,80.1,0,13.76
02/10/2015 00:48,1028,0,0,0,10.74,80,0,13.76
02/10/2015 00:49,1028,0,0,0,10.81,79.8,0,13.76
02/10/2015 00:50,1028,0,0,0,10.9,79.5,0,13.76
02/10/2015 00:51,1028,0,0,0,10.85,79.2,0,13.76
02/10/2015 00:52,1028,0,0,0,10.87,79.2,0,13.76
02/10/2015 00:53,1028,0,0,0,10.97,79.1,0,13.76
02/10/2015 00:54,1028,0,0,0,10.97,79,0,13.76
02/10/2015 00:55,1028,0,0,0,11.03,78.8,0,13.76
02/10/2015 00:56,1028,0,0,0,11.04,78.8,0,13.76
02/10/2015 00:57,1028,0,0,0,11.03,78.8,0,13.76
02/10/2015 00:58,1028,0,0,0,11.01,78.6,0,13.76
02/10/2015 00:59,1028,0,0,0,11.08,78.6,0,13.76
02/10/2015 01:00,1028,0,0,0,11.11,78.4,0,13.76
02/10/2015 01:01,1028,0,0,0,11.09,78.4,0,13.76
02/10/2015 01:02,1028,0,0,0,11.02,78.4,0,13.76
02/10/2015 01:03,1028,0,0,0,11.01,78.5,0,13.76
02/10/2015 01:04,1028,0,0,0,11.03,78.6,0,13.76
02/10/2015 01:05,1028,0,0,0,10.97,78.7,0,13.76
02/10/2015 01:06,1028,0,0,0,10.92,78.7,0,13.76
02/10/2015 01:07,1028,0,0,0,10.91,78.8,0,13.76
02/10/2015 01:08,1028,0,0,0,10.83,79,0,13.76
02/10/2015 01:09,1028,0,0,0,10.87,79.2,0,13.76
02/10/2015 01:10,1028,0,0,0,10.78,79.3,0,13.76
02/10/2015 01:11,1028,0,0,0,10.76,79.3,0,13.76
02/10/2015 01:12,1028,0,0,0,10.75,79.4,0,13.76
02/10/2015 01:13,1028,0,0,0,10.68,79.5,0,13.76
02/10/2015 01:14,1028,0,0,0,10.69,79.8,0,13.76
02/10/2015 01:15,1028,0,0,0,10.7,79.7,0,13.76
02/10/2015 01:16,1028,0,0,0,10.65,79.8,0,13.76
02/10/2015 01:17,1028,0,0,0,10.58,79.9,0,13.76
02/10/2015 01:18,1028,0,0,0,10.61,79.8,0,13.76
02/10/2015 01:19,1028,0,0,0,10.61,79.9,0,13.76
02/10/2015 01:20,1028,0,0,0,10.56,80,0,13.76
02/10/2015 01:21,1028,0,0,0,10.53,80,0,13.76
02/10/2015 01:22,1028,0,0,0,10.52,79.9,0,13.76
02/10/2015 01:23,1028,0,0,0,10.45,80,0,13.76
